date;tavg;tmin;tmax
2762;5.5;4;6.3
2763;4.7;0.7;7.4
2764;4;1.3;6.9
2765;2.8;-0.5;4.5
2766;-0.2;-3.3;2.1
2767;0.1;-1.3;2
2768;1.7;1;2.5
2769;-1.3;-4.4;1
2770;-3.3;-5.3;-0.9
2771;-2.3;-5.1;1.2
2772;0.1;-4.5;5.2
2773;0.1;-3.7;3.8
2774;-1.8;-3.1;-0.4
2775;-2.6;-6.2;0.5
2776;6.6;0.8;9.9
2777;9.5;7.8;10.4
2778;6.5;3.6;8.8
2779;8.2;4.5;10.1
2780;9.1;8;10.9
2781;8.9;5.8;10.6
2782;8.6;7.6;9.3
2783;7.7;5.4;9.2
2784;6.6;5;7.4
2785;8.9;6.4;10.8
2786;9.5;7.4;11.1
2787;7.8;4.5;12
2788;13.1;10.1;14.6
